absolute time,reward,time,,
1596257631.120,483.000,18.291,,
1596257631.136,483.000,18.307,,
1596257631.152,483.000,18.323,,
1596257631.164,483.000,18.335,,
1596257631.180,483.000,18.350,,
1596257631.207,483.000,18.377,,
1596257631.219,483.000,18.390,,
1596257631.231,483.000,18.402,,
1596257631.244,483.000,18.415,,
1596257631.281,483.000,18.451,,
1596257631.294,483.000,18.465,,
1596257631.307,483.000,18.477,,
1596257631.319,483.000,18.490,,
1596257631.351,483.000,18.521,,
1596257631.365,483.000,18.536,,
1596257631.422,483.000,18.593,,
1596257631.454,483.000,18.624,,
1596257631.470,483.000,18.640,,
1596257631.488,483.000,18.659,,
1596257631.514,483.000,18.685,,
1596257631.544,483.000,18.714,,
1596257631.564,483.000,18.735,,
1596257631.580,483.000,18.751,,
1596257631.613,483.000,18.784,,
1596257631.629,483.000,18.799,,
1596257631.642,483.000,18.812,,
1596257631.673,483.000,18.844,,
1596257631.693,483.000,18.864,,
1596257631.708,483.000,18.879,,
1596257631.723,483.000,18.894,,
1596257631.754,483.000,18.925,,
1596257631.766,483.000,18.937,,
1596257631.778,483.000,18.949,,
1596257631.793,483.000,18.963,,
1596257631.860,483.000,19.031,,
1596257631.874,483.000,19.044,,
1596257631.885,483.000,19.056,,
1596257631.926,483.000,19.096,,
1596257631.940,483.000,19.111,,
1596257631.964,483.000,19.135,,
1596257631.996,483.000,19.166,,
1596257632.018,483.000,19.189,,
1596257632.049,483.000,19.220,,
1596257632.070,483.000,19.241,,
